"syst","gen_sp","site","abund","ef","study"
"PA","Flacourtia_rukam","VG-PSH-3",1,69.2608534167902,"TEAM"
"PA","Flacourtia_rukam","VG-PSH-4",1,117.42826049858,"TEAM"
"PA","Galearia_maingayi","VG-PSH-3",9,5605.72588104496,"TEAM"
"PA","Galearia_maingayi","VG-PSH-5",1,129.585137127937,"TEAM"
"PA","Garcinia_eugeniifolia","VG-PSH-2",1,878.556985882199,"TEAM"
"PA","Garcinia_eugeniifolia","VG-PSH-3",1,41.5924173335259,"TEAM"
"PA","Garcinia_eugeniifolia","VG-PSH-5",3,445.178929461185,"TEAM"
"PA","Garcinia_forbesii","VG-PSH-5",2,72.1265608099706,"TEAM"
"PA","Garcinia_malaccensis","VG-PSH-2",1,132.617563029908,"TEAM"
"PA","Garcinia_malaccensis","VG-PSH-3",1,391.765074434314,"TEAM"
"PA","Garcinia_nervosa","VG-PSH-1",2,70.9471336286162,"TEAM"
"PA","Garcinia_parvifolia","VG-PSH-1",1,37.2168813622069,"TEAM"
"PA","Garcinia_parvifolia","VG-PSH-4",1,49.2344661426631,"TEAM"
"PA","Garcinia_parvifolia","VG-PSH-5",1,625.400939333306,"TEAM"
