"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"819","Boraginaceae","Cordia","bicolor",25,1.3,2010.01,26,56.6,"VG-BCI-3","Cordia_bicolor","2010",0.510488636363636,383.88671534449,191.943357672245
"820","Arecaceae","Oenocarpus","mapora",10.3,1.3,2010.01,26,59.9,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,49.2253588701202,24.6126794350601
"821","Arecaceae","Oenocarpus","mapora",10.1,1.3,2010.01,26,59.9,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,46.7284161839706,23.3642080919853
"822","Polygonaceae","Coccoloba","manzinellensis",14.1,1.3,2010.01,25.1,54.2,"VG-BCI-3","Coccoloba_manzinellensis","2010",0.687333333333333,114.30179084495,57.1508954224748
"823","Polygonaceae","Coccoloba","manzinellensis",12.2,1.3,2010.01,25.1,54.2,"VG-BCI-3","Coccoloba_manzinellensis","2010",0.687333333333333,77.833011725387,38.9165058626935
"824","Myristicaceae","Virola","sebifera",21.9,1.3,2010.01,25.8,46.4,"VG-BCI-3","Virola_sebifera","2010",0.473015873015873,251.611051091074,125.805525545537
"825","Myristicaceae","Virola","sebifera",14.4,1.3,2010.01,29.4,48.8,"VG-BCI-3","Virola_sebifera","2010",0.473015873015873,83.1797480707285,41.5898740353642
"826","Erythroxylaceae","Erythroxylum","citrifolium",11,1.3,2010.01,28.2,44,"VG-BCI-3","Erythroxylum_citrifolium","2010",0.720481481481482,61.9693452924135,30.9846726462067
"827","Fabaceae","Ormosia","coccinea",10.7,1.3,2010.01,28.9,44.7,"VG-BCI-3","Ormosia_coccinea","2010",0.590574074074074,47.1991885680768,23.5995942840384
"828","Euphorbiaceae","Alchornea","latifolia",17.4,1.5,2010.01,28.7,42,"VG-BCI-3","Alchornea_latifolia","2010",0.412789473684211,119.815133265412,59.9075666327062
"829","Rubiaceae","Amaioua","corymbosa",16.6,1.3,2010.01,33.9,44.3,"VG-BCI-3","Amaioua_corymbosa","2010",0.625,160.181063111544,80.0905315557718
"830","Simaroubaceae","Simarouba","amara",12,1.3,2010.01,32.5,48.6,"VG-BCI-3","Simarouba_amara","2010",0.414208333333333,44.8898048901222,22.4449024450611
"831","Clusiaceae","Calophyllum","longifolium",48,1.3,2010.01,32.5,51.6,"VG-BCI-3","Calophyllum_longifolium","2010",0.575632911392405,2289.26875169505,1144.63437584752
"832","Chrysobalanaceae","Maranthes","panamensis",19.6,1.3,2010.01,36.2,57.9,"VG-BCI-3","Maranthes_panamensis","2010",0.817294117647059,324.773372134619,162.386686067309
"833","Myristicaceae","Virola","sebifera",20,1.3,2010.01,35.4,50.1,"VG-BCI-3","Virola_sebifera","2010",0.473015873015873,198.233011534105,99.1165057670525
"834","Apocynaceae","Aspidosperma","spruceanum",11.5,1.3,2010.01,35.1,42.5,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,72.3792673457086,36.1896336728543
"835","Apocynaceae","Aspidosperma","spruceanum",39.4,1.3,2010.01,42.1,23.8,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,1811.8820986321,905.94104931605
"836","Fabaceae","Tachigali","versicolor",26.6,1.3,2010.01,42,23,"VG-BCI-3","Tachigali_versicolor","2010",0.557333333333333,492.564292352529,246.282146176264
"837","Erythroxylaceae","Erythroxylum","citrifolium",13.8,1.3,2010.01,42.6,23.5,"VG-BCI-3","Erythroxylum_citrifolium","2010",0.720481481481482,113.168127536731,56.5840637683653
"838","Apocynaceae","Malouetia","isthmica",10.1,1.3,2010.01,43.2,22,"VG-BCI-3","Malouetia_isthmica","2010",0.526666666666667,36.1119577259347,18.0559788629674
"839","Arecaceae","Socratea","exorrhiza",11.2,3,2010.01,41.2,26.5,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,20.7523232923401,10.3761616461701
"840","Humiriaceae","Vantanea","depleta",11.1,1.3,2010.01,40.9,28.9,"VG-BCI-3","Vantanea_depleta","2010",0.835,73.5664215087512,36.7832107543756
"841","Moraceae","Perebea","xanthochyma",17,1.3,2010.01,42.3,28.4,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,133.153999314835,66.5769996574175
"842","Lecythidaceae","Couratari","guianensis",10.8,1.3,2010.01,42.9,27.8,"VG-BCI-3","Couratari_guianensis","2010",0.536533333333333,43.9527453887423,21.9763726943711
"843","Arecaceae","Oenocarpus","mapora",10.1,1.3,2010.01,45.5,35.8,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,46.7284161839706,23.3642080919853
"844","Arecaceae","Socratea","exorrhiza",10.5,3,2010.01,46.5,38.1,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,17.4834558324124,8.74172791620618
"845","Lecythidaceae","Couratari","guianensis",22.9,1.3,2010.01,49.3,27,"VG-BCI-3","Couratari_guianensis","2010",0.536533333333333,320.82033364503,160.410166822515
"846","Urticaceae","Pourouma","bicolor",21.2,1.3,2010.01,45.7,26.8,"VG-BCI-3","Pourouma_bicolor","2010",0.38625,188.667193756264,94.3335968781322
"847","Elaeocarpaceae","Sloanea","meianthera",12.3,1.3,2010.01,46.3,27.9,"VG-BCI-3","Sloanea_meianthera","2010",0.622122807017544,71.992806448416,35.996403224208
"848","Arecaceae","Socratea","exorrhiza",12,3,2010.01,48.9,25.9,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,24.926237098227,12.4631185491135
"850","Vochysiaceae","Erisma","blancoa",10.1,0.8,2010.01,46.4,23.7,"VG-BCI-3","Erisma_blancoa","2010",0.5358,36.7382030687769,18.3691015343885
"851","Anacardiaceae","Tapirira","guianensis",25.7,1.3,2010.01,51.4,22,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,354.575016537796,177.287508268898
"852","Arecaceae","Oenocarpus","mapora",10.4,1.3,2010.01,53.4,26.5,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,50.5044937812826,25.2522468906413
"853","Moraceae","Perebea","xanthochyma",10.2,1.3,2010.01,52.9,29.7,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,34.3356704217025,17.1678352108513
"854","Moraceae","Brosimum","guianense",11.7,1.3,2010.01,52,34.9,"VG-BCI-3","Brosimum_guianense","2010",0.670818181818182,67.9715338828939,33.985766941447
"855","Anacardiaceae","Tapirira","guianensis",53.7,1.3,2010.01,52.9,31.4,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,2303.25291315527,1151.62645657763
"857","Arecaceae","Socratea","exorrhiza",13.6,3,2010.01,54.3,39.8,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,34.7537595015781,17.3768797507891
"858","Arecaceae","Socratea","exorrhiza",12,3,2010.01,53.4,35.3,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,24.926237098227,12.4631185491135
"859","Apocynaceae","Malouetia","isthmica",21.5,1.3,2010.01,56.2,35.6,"VG-BCI-3","Malouetia_isthmica","2010",0.526666666666667,266.922623887745,133.461311943872
"860","Apocynaceae","Aspidosperma","spruceanum",10.7,1.3,2010.01,57.2,39.2,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,59.7643820393817,29.8821910196908
"861","Burseraceae","Protium","panamense",13.6,1.3,2010.01,56.3,32.6,"VG-BCI-3","Protium_panamense","2010",0.575724137931034,86.9938183865589,43.4969091932795
"863","Moraceae","Brosimum","lactescens",10.2,1.3,2010.01,57.1,25.1,"VG-BCI-3","Brosimum_lactescens","2010",0.670818181818182,47.2148794064807,23.6074397032403
"864","Arecaceae","Socratea","exorrhiza",13.2,3,2010.01,55.2,26.4,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,32.1058681444422,16.0529340722211
"865","Humiriaceae","Vantanea","depleta",26.4,1.3,2010.01,55,27,"VG-BCI-3","Vantanea_depleta","2010",0.835,723.626323676144,361.813161838072
